,0,1,2,3,4,5,6,7,8,9,10,11
1.18485,0.2009464,0.21009059,0.20668584,0.20939004,0.21300234,0.2194084,0.21388279,0.2218336,0.22502065,0.22970138,0.22588788,0.23861894
1.19141,0.20239535,0.21174695,0.20734176,0.21118703,0.21320239,0.22067413,0.21560548,0.2235379,0.2267141,0.23145667,0.22755605,0.24055097
1.19797,0.20031978,0.20980401,0.205047,0.2093907,0.21090643,0.2186144,0.21364325,0.22126815,0.22437239,0.22942221,0.22530918,0.23846933
1.2045299999999999,0.19943422,0.20859759,0.2040405,0.20832115,0.20954421,0.21719089,0.21265078,0.22031924,0.22332653,0.22817478,0.22436821,0.23705006
1.21109,0.1999893,0.20929974,0.20427346,0.2089607,0.20993002,0.21765974,0.2133704,0.22098583,0.22414508,0.22886358,0.2250272,0.23780799
1.2176500000000001,0.19947836,0.20887946,0.2039407,0.20878175,0.20955133,0.21732378,0.21307333,0.22052032,0.22343704,0.22847569,0.22456217,0.23740384
1.22421,0.19958332,0.2090394,0.20382588,0.20887525,0.20959628,0.21746887,0.21314013,0.22037028,0.22349277,0.22852422,0.22458713,0.23749793
1.23077,0.20085353,0.2101117,0.20495805,0.21009973,0.21071914,0.21871062,0.2144545,0.22169283,0.2246826,0.22990645,0.2258347,0.23881343
1.2373299999999998,0.20147504,0.2110737,0.20535079,0.2108623,0.21136017,0.2193791,0.21519873,0.22229685,0.22565769,0.23063836,0.2266572,0.23974763
1.2438900000000002,0.20190509,0.21101561,0.20574985,0.21094972,0.21141697,0.21937531,0.21536134,0.22258434,0.22562161,0.23067498,0.22688444,0.23957168
1.25045,0.20278294,0.21214642,0.20638883,0.21182777,0.21241915,0.22023068,0.21628663,0.22344765,0.22676682,0.2316291,0.2278872,0.24063441
1.25701,0.20169738,0.21067908,0.20564209,0.21051018,0.21122941,0.21872695,0.21500914,0.22233918,0.22550488,0.23008609,0.22678664,0.23896219
1.2635699999999999,0.20239024,0.2114706,0.20646358,0.21108465,0.2122079,0.21938854,0.21575849,0.22302155,0.22643198,0.23069464,0.2276528,0.23955214
1.27014,0.20414415,0.21328674,0.20839703,0.21295373,0.2141321,0.22128427,0.21761423,0.22479133,0.22835423,0.2325344,0.22970077,0.24152045
1.2767,0.2037956,0.2129498,0.20819938,0.21272463,0.21407981,0.22090134,0.21743222,0.22466862,0.22814284,0.23228204,0.22950187,0.24116927
